  # Número de Mach            V(km/h)           Coeficiente de arrasto
  4.400000000000000E-003   5.38560000000000        1.68151037964285     
  8.800000000000001E-003   10.7712000000000        2.73995696270835     
  1.320000000000000E-002   16.1568000000000        3.06980054109011     
  1.760000000000000E-002   21.5424000000000        1.48317077819123     
  2.200000000000000E-002   26.9280000000000        1.70798293683140     
  2.640000000000000E-002   32.3136000000000        1.84509422581405     
  3.080000000000000E-002   37.6992000000000        1.93511915479147     
  3.520000000000000E-002   43.0848000000000        1.99733208326927     
  3.960000000000000E-002   48.4704000000000        2.04195552435503     
  4.400000000000000E-002   53.8560000000000        2.07486824688515     
  4.840000000000001E-002   59.2416000000000        2.09966629820155     
  5.280000000000000E-002   64.6272000000000        2.11865905274906     
  5.720000000000000E-002   70.0128000000000        2.13338932436306     
  6.160000000000000E-002   75.3984000000000        2.14492178812677     
  6.600000000000000E-002   80.7840000000000        2.15401148317801     
  7.040000000000000E-002   86.1696000000000        2.16120668204485     
  7.480000000000001E-002   91.5552000000000        2.16691322669002     
  7.920000000000001E-002   96.9408000000000        2.17143713122302     
  8.360000000000001E-002   102.326400000000        2.17501258568014     
  8.800000000000001E-002   107.712000000000        2.17782106521202     
  9.240000000000001E-002   113.097600000000        2.18000525409572     
  9.680000000000001E-002   118.483200000000        2.18167814592949     
  0.101200000000000        123.868800000000        2.18293049372077     
  0.105600000000000        129.254400000000        2.18383554040101     
  0.110000000000000        134.640000000000        2.18445282164798     
  0.114400000000000        140.025600000000        2.18483147138545     
  0.118800000000000        145.411200000000        2.18501178254436     
  0.123200000000000        150.796800000000        2.18502732995613     
  0.127600000000000        156.182400000000        2.18490621834461     
  0.132000000000000        161.568000000000        2.18467198564060     
  0.136400000000000        166.953600000000        2.18434447927913     
  0.140800000000000        172.339200000000        2.18394050487810     
  0.145200000000000        177.724800000000        2.18347440959308     
  0.149600000000000        183.110400000000        2.18295825261551     
  0.154000000000000        188.496000000000        2.18240258544272     
  0.158400000000000        193.881600000000        2.18181629360565     
  0.162800000000000        199.267200000000        2.18120707707623     
  0.167200000000000        204.652800000000        2.18055745986400     
  0.171600000000000        210.038400000000        2.17986159247787     
  0.176000000000000        215.424000000000        2.17916571512271     
  0.180400000000000        220.809600000000        2.17847363179977     
  0.184800000000000        226.195200000000        2.17778863759753     
  0.189200000000000        231.580800000000        2.17711358967120     
  0.193600000000000        236.966400000000        2.17645102992788     
  0.198000000000000        242.352000000000        2.17580311091695     
  0.202400000000000        247.737600000000        2.17517163934862     
  0.206800000000000        253.123200000000        2.17455823846698     
  0.211200000000000        258.508800000000        2.17396444253082     
  0.215600000000000        263.894400000000        2.17339134872483     
  0.220000000000000        269.280000000000        2.17284026664239     
